time_step, score
0, 0.875
1, 0.875
2, 0.875
3, 0.875
4, 0.875
5, 0.875
6, 0.875
7, 0.875
8, 0.875
9, 0.875
10, 0.875
11, 0.875
12, 0.875
13, 0.875
14, 0.875
15, 0.875
16, 0.875
17, 0.875
18, 0.875
19, 0.875
20, 0.875
21, 0.875
22, 0.875
23, 0.875
24, 0.875
25, 0.875
26, 0.875
27, 0.875
28, 0.875
29, 0.875
30, 0.875
31, 0.875
32, 0.875
33, 0.875
34, 0.875
35, 0.875
36, 0.875
37, 0.875
38, 0.875
39, 0.875
40, 0.875
41, 0.875
42, 0.875
43, 0.875
44, 0.875
45, 0.875
46, 0.875
47, 0.875
48, 0.875
49, 0.875
50, 0.875
51, 0.875
52, 0.875
53, 0.875
54, 0.875
55, 0.875
56, 0.875
57, 0.875
58, 0.875
59, 0.875
60, 0.875
61, 0.875
62, 0.875
63, 0.875
64, 0.875
65, 0.875
66, 0.875
67, 0.875
68, 0.875
69, 0.875
70, 0.875
71, 0.875
72, 0.875
73, 0.875
74, 0.875
75, 0.875
76, 0.875
77, 0.875
78, 0.875
79, 0.875
80, 0.875
81, 0.875
82, 0.875
83, 0.875
84, 0.875
85, 0.875
86, 0.875
87, 0.875
88, 0.875
89, 0.875
90, 0.875
91, 0.875
92, 0.875
93, 0.875
94, 0.875
95, 0.875
96, 0.875
97, 0.875
98, 0.875
99, 0.875
100, 0.875
101, 0.875
102, 0.875
103, 0.875
104, 0.875
105, 0.875
106, 0.875
107, 0.875
108, 0.875
109, 0.875
110, 0.875
111, 0.875
112, 0.875
113, 0.875
114, 0.875
115, 0.875
116, 0.875
117, 0.875
118, 0.875
119, 0.875
120, 0.875
121, 0.875
122, 0.875
123, 0.875
124, 0.875
125, 0.875
126, 0.875
127, 0.875
128, 0.875
129, 0.875
130, 0.875
131, 0.875
132, 0.875
133, 0.875
134, 0.875
135, 0.875
136, 0.875
137, 0.875
138, 0.875
139, 0.875
140, 0.875
141, 0.875
142, 0.875
143, 0.875
144, 0.875
145, 0.875
146, 0.875
147, 0.875
148, 0.875
149, 0.875
150, 0.875
151, 0.875
152, 0.875
153, 0.875
154, 0.875
155, 0.875
156, 0.875
157, 0.875
158, 0.875
159, 0.875
160, 0.875
161, 0.875
162, 0.875
163, 0.875
164, 0.875
165, 0.875
166, 0.875
167, 0.875
168, 0.875
169, 0.875
170, 0.875
171, 0.875
172, 0.875
173, 0.875
174, 0.875
175, 0.875
176, 0.875
177, 0.875
178, 0.875
179, 0.875
180, 0.875
181, 0.875
182, 0.875
183, 0.875
184, 0.875
185, 0.875
186, 0.875
187, 0.875
188, 0.875
189, 0.875
190, 0.875
191, 0.875
192, 0.875
193, 0.875
194, 0.875
195, 0.875
196, 0.875
197, 0.875
198, 0.875
199, 0.875
200, 0.875
201, 0.875
202, 0.875
203, 0.875
204, 0.875
205, 0.875
206, 0.875
207, 0.875
208, 0.875
209, 0.875
210, 0.875
211, 0.875
212, 0.875
213, 0.875
214, 0.875
215, 0.875
216, 0.875
217, 0.875
218, 0.875
219, 0.875
220, 0.875
221, 0.875
222, 0.875
223, 0.875
224, 0.875
225, 0.875
226, 0.875
227, 0.875
228, 0.875
229, 0.875
230, 0.875
231, 0.875
232, 0.875
233, 0.875
234, 0.875
235, 0.875
236, 0.875
237, 0.875
238, 0.875
239, 0.875
240, 0.875
241, 0.875
242, 0.875
243, 0.875
244, 0.875
245, 0.875
246, 0.875
247, 0.875
248, 0.875
249, 0.875
250, 0.875
251, 0.875
252, 0.875
253, 0.875
254, 0.875
255, 0.875
256, 0.875
257, 0.875
258, 0.875
259, 0.875
260, 0.875
261, 0.875
262, 0.875
263, 0.875
264, 0.875
265, 0.875
266, 0.875
267, 0.875
268, 0.875
269, 0.875
270, 0.875
271, 0.875
272, 0.875
273, 0.875
274, 0.875
275, 0.875
276, 0.875
277, 0.875
278, 0.875
279, 0.875
280, 0.875
281, 0.875
282, 0.875
283, 0.875
284, 0.875
285, 0.875
286, 0.875
287, 0.875
288, 0.875
289, 0.875
290, 0.875
291, 0.875
292, 0.875
293, 0.875
294, 0.875
295, 0.875
296, 0.875
297, 0.875
298, 0.875
299, 0.875
300, 0.875
301, 0.875
302, 0.875
303, 0.875
304, 0.875
305, 0.875
306, 0.875
307, 0.875
308, 0.875
309, 0.875
310, 0.875
311, 0.875
312, 0.875
313, 0.875
314, 0.875
315, 0.875
316, 0.875
317, 0.875
318, 0.875
319, 0.875
320, 0.875
321, 0.875
322, 0.875
323, 0.875
324, 0.875
325, 0.875
326, 0.875
327, 0.875
328, 0.875
329, 0.875
330, 0.875
331, 0.875
332, 0.875
333, 0.875
334, 0.875
335, 0.875
336, 0.875
337, 0.875
338, 0.875
339, 0.875
340, 0.875
341, 0.875
342, 0.875
343, 0.875
344, 0.875
345, 0.875
346, 0.875
347, 0.875
348, 0.875
349, 0.875
350, 0.875
351, 0.875
352, 0.875
353, 0.875
354, 0.875
355, 0.875
356, 0.875
357, 0.875
358, 0.875
359, 0.875
360, 0.875
361, 0.875
362, 0.875
363, 0.875
364, 0.875
365, 0.875
366, 0.875
367, 0.875
368, 0.875
369, 0.875
370, 0.875
371, 0.875
372, 0.875
373, 0.875
374, 0.875
375, 0.875
376, 0.875
377, 0.875
378, 0.875
379, 0.875
380, 0.875
381, 0.875
382, 0.875
383, 0.875
384, 0.875
385, 0.875
386, 0.875
387, 0.875
388, 0.875
389, 0.875
390, 0.875
391, 0.875
392, 0.875
393, 0.875
394, 0.875
395, 0.875
396, 0.875
397, 0.875
398, 0.875
399, 0.875
400, 0.875
401, 0.875
402, 0.875
403, 0.875
404, 0.875
405, 0.875
406, 0.875
407, 0.875
408, 0.875
409, 0.875
410, 0.875
411, 0.875
412, 0.875
413, 0.875
414, 0.875
415, 0.875
416, 0.875
417, 0.875
418, 0.875
419, 0.875
420, 0.875
421, 0.875
422, 0.875
423, 0.875
424, 0.875
425, 0.875
426, 0.875
427, 0.875
428, 0.875
429, 0.875
430, 0.875
431, 0.875
432, 0.875
433, 0.875
434, 0.875
435, 0.875
436, 0.875
437, 0.875
438, 0.875
439, 0.875
440, 0.875
441, 0.875
442, 0.875
443, 0.875
444, 0.875
445, 0.875
446, 0.875
447, 0.875
448, 0.875
449, 0.875
450, 0.875
451, 0.875
452, 0.875
453, 0.875
454, 0.875
455, 0.875
456, 0.875
457, 0.875
458, 0.875
459, 0.875
460, 0.875
461, 0.875
462, 0.875
463, 0.875
464, 0.875
465, 0.875
466, 0.875
467, 0.875
468, 0.875
469, 0.875
470, 0.875
471, 0.875
472, 0.875
473, 0.875
474, 0.875
475, 0.875
476, 0.875
477, 0.875
478, 0.875
479, 0.875
480, 0.875
481, 0.875
482, 0.875
483, 0.875
484, 0.875
485, 0.875
486, 0.875
487, 0.875
488, 0.875
489, 0.875
490, 0.875
491, 0.875
492, 0.875
493, 0.875
494, 0.875
495, 0.875
496, 0.875
497, 0.875
498, 0.875
499, 0.875
500, 0.875
501, 0.875
502, 0.875
503, 0.875
504, 0.875
505, 0.875
506, 0.875
507, 0.875
508, 0.875
509, 0.875
510, 0.875
511, 0.875
512, 0.875
513, 0.875
514, 0.875
515, 0.875
516, 0.875
517, 0.875
518, 0.875
519, 0.875
520, 0.875
521, 0.875
522, 0.875
523, 0.875
524, 0.875
525, 0.875
526, 0.875
527, 0.875
528, 0.875
529, 0.875
530, 0.875
531, 0.875
532, 0.875
533, 0.875
534, 0.875
535, 0.875
536, 0.875
537, 0.875
538, 0.875
539, 0.875
540, 0.875
541, 0.875
542, 0.875
543, 0.875
544, 0.875
545, 0.875
546, 0.875
547, 0.875
548, 0.875
549, 0.875
550, 0.875
551, 0.875
