time_step, score
0, 0.75
1, 0.8125
2, 0.8125
3, 0.8125
4, 0.8125
5, 0.8125
6, 0.8125
7, 0.875
8, 0.875
9, 0.875
10, 0.875
11, 0.875
12, 0.875
13, 0.875
14, 0.875
15, 0.875
16, 0.875
17, 0.875
18, 0.875
19, 0.875
20, 0.875
21, 0.875
22, 0.875
23, 0.875
24, 0.875
25, 0.875
26, 0.875
27, 0.875
28, 0.875
29, 0.875
30, 0.875
31, 0.875
32, 0.875
33, 0.875
34, 0.875
35, 0.875
36, 0.875
37, 0.875
38, 0.875
39, 0.875
40, 0.875
41, 0.875
42, 0.875
43, 0.875
44, 0.875
45, 0.875
46, 0.875
47, 0.875
48, 0.875
49, 0.875
50, 0.875
51, 0.875
52, 0.875
53, 0.875
54, 0.875
55, 0.875
56, 0.875
57, 0.875
58, 0.875
59, 0.875
60, 0.875
61, 0.875
62, 0.875
63, 0.875
64, 0.875
65, 0.875
66, 0.875
67, 0.875
68, 0.875
69, 0.875
70, 0.875
71, 0.875
72, 0.875
73, 0.875
74, 0.875
75, 0.875
76, 0.875
77, 0.875
78, 0.875
79, 0.875
80, 0.875
81, 0.875
82, 0.875
83, 0.875
84, 0.875
85, 0.875
86, 0.875
87, 0.875
88, 0.875
89, 0.875
90, 0.875
91, 0.875
92, 0.875
93, 0.875
94, 0.875
95, 0.875
96, 0.875
97, 0.875
98, 0.875
99, 0.875
100, 0.875
101, 0.875
102, 0.875
103, 0.875
104, 0.875
105, 0.875
106, 0.875
107, 0.875
108, 0.875
109, 0.875
110, 0.875
111, 0.875
112, 0.875
113, 0.875
114, 0.875
115, 0.875
116, 0.875
117, 0.875
118, 0.875
119, 0.875
120, 0.875
121, 0.875
122, 0.875
123, 0.875
124, 0.875
125, 0.875
126, 0.875
127, 0.875
128, 0.875
129, 0.875
130, 0.875
131, 0.875
132, 0.875
133, 0.875
134, 0.875
135, 0.875
136, 0.875
137, 0.875
138, 0.875
139, 0.875
140, 0.875
141, 0.875
142, 0.875
143, 0.875
144, 0.875
145, 0.875
146, 0.875
147, 0.875
148, 0.875
149, 0.875
150, 0.875
151, 0.875
152, 0.875
153, 0.875
154, 0.875
155, 0.875
156, 0.875
157, 0.875
158, 0.875
159, 0.875
160, 0.875
161, 0.875
162, 0.875
