time_step, score
0, 0.625
1, 0.625
2, 0.625
3, 0.625
4, 0.625
5, 0.625
6, 0.625
7, 0.625
8, 0.625
9, 0.625
10, 0.625
11, 0.625
12, 0.625
13, 0.625
14, 0.625
15, 0.625
16, 0.625
17, 0.625
18, 0.625
19, 0.625
20, 0.625
21, 0.625
22, 0.625
23, 0.625
24, 0.625
25, 0.625
26, 0.625
27, 0.625
28, 0.625
29, 0.625
30, 0.625
31, 0.625
32, 0.625
33, 0.625
34, 0.625
35, 0.625
36, 0.625
37, 0.625
38, 0.625
39, 0.625
40, 0.625
41, 0.625
42, 0.625
43, 0.625
44, 0.625
45, 0.625
46, 0.625
47, 0.625
48, 0.625
49, 0.625
50, 0.625
51, 0.625
52, 0.625
53, 0.625
54, 0.625
55, 0.625
56, 0.625
57, 0.625
58, 0.625
59, 0.625
60, 0.625
61, 0.625
62, 0.625
63, 0.625
64, 0.625
65, 0.625
66, 0.625
67, 0.625
68, 0.625
69, 0.625
70, 0.625
71, 0.625
72, 0.625
73, 0.625
74, 0.625
75, 0.625
76, 0.625
77, 0.625
78, 0.625
79, 0.625
80, 0.625
81, 0.625
82, 0.625
83, 0.625
84, 0.625
85, 0.625
86, 0.625
87, 0.625
88, 0.625
89, 0.625
90, 0.625
91, 0.625
92, 0.625
93, 0.625
94, 0.625
95, 0.625
96, 0.625
97, 0.625
98, 0.625
99, 0.625
100, 0.625
101, 0.625
102, 0.625
103, 0.625
104, 0.625
105, 0.625
106, 0.625
107, 0.625
108, 0.625
109, 0.625
110, 0.625
111, 0.625
112, 0.625
113, 0.625
114, 0.625
115, 0.625
116, 0.625
117, 0.625
118, 0.625
119, 0.625
120, 0.625
121, 0.625
122, 0.625
123, 0.625
124, 0.625
125, 0.625
126, 0.625
127, 0.625
128, 0.625
129, 0.625
130, 0.625
131, 0.625
132, 0.625
133, 0.625
134, 0.625
135, 0.625
136, 0.625
137, 0.625
138, 0.625
139, 0.625
140, 0.625
141, 0.625
142, 0.625
143, 0.625
144, 0.625
145, 0.625
146, 0.625
147, 0.625
148, 0.625
149, 0.625
150, 0.625
151, 0.625
152, 0.625
153, 0.625
154, 0.625
155, 0.625
156, 0.625
157, 0.625
158, 0.625
159, 0.625
160, 0.625
161, 0.625
162, 0.625
163, 0.625
164, 0.625
165, 0.625
166, 0.625
167, 0.625
168, 0.625
169, 0.625
170, 0.625
171, 0.625
172, 0.625
173, 0.625
174, 0.625
175, 0.625
176, 0.625
177, 0.625
178, 0.625
179, 0.625
180, 0.625
181, 0.625
182, 0.625
183, 0.625
184, 0.625
185, 0.625
186, 0.625
187, 0.625
188, 0.625
189, 0.625
190, 0.625
191, 0.625
192, 0.625
193, 0.625
194, 0.625
195, 0.625
196, 0.625
197, 0.625
198, 0.625
199, 0.625
200, 0.625
201, 0.625
202, 0.625
203, 0.625
204, 0.625
205, 0.625
206, 0.625
207, 0.625
208, 0.625
209, 0.625
210, 0.625
211, 0.625
212, 0.625
213, 0.625
214, 0.625
215, 0.625
216, 0.625
217, 0.625
218, 0.625
219, 0.625
220, 0.625
221, 0.625
222, 0.625
223, 0.625
224, 0.625
225, 0.625
226, 0.625
227, 0.625
228, 0.625
229, 0.625
230, 0.625
231, 0.625
232, 0.625
233, 0.625
234, 0.625
235, 0.625
236, 0.625
237, 0.625
238, 0.625
239, 0.625
240, 0.625
