time_step, score
0, 0.64
1, 0.64
2, 0.64
3, 0.64
4, 0.64
5, 0.64
6, 0.64
7, 0.64
8, 0.64
9, 0.64
10, 0.64
11, 0.64
12, 0.64
13, 0.64
14, 0.64
15, 0.64
16, 0.64
17, 0.64
18, 0.64
19, 0.64
20, 0.64
21, 0.64
22, 0.64
23, 0.64
24, 0.64
25, 0.64
26, 0.64
27, 0.64
28, 0.64
29, 0.64
30, 0.64
31, 0.64
32, 0.64
33, 0.64
34, 0.64
35, 0.64
36, 0.64
37, 0.64
38, 0.64
39, 0.64
40, 0.64
41, 0.64
42, 0.68
43, 0.68
44, 0.68
45, 0.68
46, 0.68
47, 0.68
48, 0.68
49, 0.68
50, 0.68
51, 0.68
52, 0.68
53, 0.68
54, 0.68
55, 0.68
56, 0.68
57, 0.68
58, 0.68
59, 0.68
60, 0.68
61, 0.68
62, 0.68
63, 0.68
64, 0.68
65, 0.68
66, 0.68
67, 0.68
68, 0.68
69, 0.68
70, 0.68
71, 0.68
72, 0.68
73, 0.68
74, 0.68
75, 0.68
76, 0.68
77, 0.68
78, 0.68
79, 0.68
80, 0.68
81, 0.68
82, 0.68
83, 0.68
84, 0.68
85, 0.68
86, 0.68
87, 0.68
88, 0.68
89, 0.68
90, 0.68
91, 0.68
92, 0.68
93, 0.68
94, 0.68
95, 0.68
96, 0.68
97, 0.68
98, 0.68
99, 0.68
100, 0.68
101, 0.68
102, 0.68
103, 0.68
104, 0.68
105, 0.68
106, 0.68
107, 0.68
108, 0.68
109, 0.68
110, 0.68
111, 0.68
112, 0.68
113, 0.68
114, 0.68
115, 0.68
116, 0.68
117, 0.68
118, 0.68
119, 0.68
120, 0.68
121, 0.68
122, 0.68
123, 0.68
124, 0.68
125, 0.68
126, 0.68
127, 0.68
128, 0.68
129, 0.68
130, 0.68
131, 0.68
132, 0.68
133, 0.68
134, 0.68
135, 0.68
136, 0.68
137, 0.68
138, 0.68
139, 0.68
140, 0.68
141, 0.68
142, 0.68
143, 0.68
144, 0.68
145, 0.68
146, 0.68
147, 0.68
148, 0.68
149, 0.68
150, 0.68
151, 0.68
152, 0.68
153, 0.68
154, 0.68
155, 0.68
156, 0.68
157, 0.68
158, 0.68
159, 0.68
160, 0.68
161, 0.68
162, 0.68
163, 0.68
164, 0.68
165, 0.68
166, 0.68
167, 0.68
168, 0.68
169, 0.68
170, 0.68
171, 0.68
172, 0.68
173, 0.68
174, 0.68
175, 0.68
176, 0.68
177, 0.68
178, 0.68
179, 0.68
180, 0.68
181, 0.68
182, 0.68
183, 0.68
184, 0.68
185, 0.68
186, 0.68
187, 0.68
188, 0.68
189, 0.68
190, 0.68
191, 0.68
192, 0.68
193, 0.68
194, 0.68
195, 0.68
196, 0.68
197, 0.68
198, 0.68
199, 0.68
200, 0.68
201, 0.68
202, 0.68
203, 0.68
204, 0.68
205, 0.68
206, 0.68
207, 0.68
208, 0.68
209, 0.68
210, 0.68
211, 0.68
212, 0.68
213, 0.68
214, 0.68
215, 0.68
216, 0.68
217, 0.68
218, 0.68
219, 0.68
220, 0.68
221, 0.68
222, 0.68
223, 0.68
224, 0.68
225, 0.68
226, 0.68
227, 0.68
228, 0.68
229, 0.68
230, 0.68
231, 0.68
232, 0.68
233, 0.68
234, 0.68
235, 0.68
236, 0.68
237, 0.68
238, 0.68
239, 0.68
240, 0.68
241, 0.68
242, 0.68
243, 0.68
244, 0.68
245, 0.68
246, 0.68
247, 0.68
248, 0.68
249, 0.68
250, 0.68
251, 0.68
252, 0.68
253, 0.68
254, 0.68
255, 0.68
256, 0.68
257, 0.68
258, 0.68
259, 0.68
260, 0.68
261, 0.68
262, 0.68
263, 0.68
264, 0.68
265, 0.68
266, 0.68
267, 0.68
268, 0.68
269, 0.68
270, 0.68
271, 0.68
272, 0.68
273, 0.68
274, 0.68
275, 0.68
276, 0.68
277, 0.68
278, 0.68
279, 0.68
280, 0.68
281, 0.68
282, 0.68
283, 0.68
284, 0.68
285, 0.68
286, 0.68
287, 0.68
288, 0.68
289, 0.68
290, 0.68
291, 0.68
292, 0.68
293, 0.68
294, 0.68
295, 0.68
296, 0.68
297, 0.68
298, 0.68
299, 0.68
300, 0.68
301, 0.68
302, 0.68
303, 0.68
304, 0.68
305, 0.68
306, 0.68
307, 0.68
308, 0.68
309, 0.68
310, 0.68
311, 0.68
312, 0.68
313, 0.68
314, 0.68
315, 0.68
316, 0.68
317, 0.68
318, 0.68
319, 0.68
320, 0.68
321, 0.68
322, 0.68
323, 0.68
324, 0.68
325, 0.68
326, 0.68
327, 0.68
328, 0.68
329, 0.68
330, 0.68
331, 0.68
332, 0.68
333, 0.68
334, 0.68
335, 0.68
336, 0.68
337, 0.68
338, 0.68
339, 0.68
340, 0.68
341, 0.68
342, 0.68
343, 0.68
344, 0.68
345, 0.68
346, 0.68
347, 0.68
348, 0.68
349, 0.68
350, 0.68
351, 0.68
352, 0.68
353, 0.68
354, 0.68
355, 0.68
356, 0.68
357, 0.68
358, 0.68
359, 0.68
360, 0.68
361, 0.68
362, 0.68
363, 0.68
364, 0.68
365, 0.68
366, 0.68
367, 0.68
368, 0.68
369, 0.68
370, 0.68
371, 0.68
372, 0.68
373, 0.68
374, 0.68
375, 0.68
376, 0.68
377, 0.68
378, 0.68
379, 0.68
380, 0.68
381, 0.68
382, 0.68
